'Elapsed time','ECG 1','ECG 2','ECG 3','ECG 4'
'hh:mm:ss.mmm','mV','mV','mV','mV'
'0:00.000',0.370,-0.050,-0.580,-0.600
'0:00.002',0.390,-0.040,-0.570,-0.610
'0:00.004',0.400,-0.040,-0.580,-0.640
'0:00.006',0.430,-0.030,-0.570,-0.680
'0:00.008',0.440,-0.020,-0.570,-0.690
'0:00.010',0.450,-0.010,-0.560,-0.670
'0:00.012',0.450,-0.020,-0.560,-0.670
'0:00.014',0.440,-0.040,-0.550,-0.660
'0:00.016',0.440,-0.030,-0.540,-0.640
'0:00.018',0.450,-0.040,-0.530,-0.640
'0:00.020',0.450,-0.040,-0.530,-0.640
'0:00.022',0.430,-0.020,-0.510,-0.620
'0:00.024',0.410,-0.010,-0.470,-0.590
'0:00.026',0.390,-0.020,-0.460,-0.580
'0:00.028',0.370,-0.040,-0.440,-0.570
'0:00.030',0.360,-0.060,-0.410,-0.540
'0:00.032',0.330,-0.060,-0.390,-0.500
'0:00.034',0.310,-0.060,-0.370,-0.470
'0:00.036',0.280,-0.050,-0.360,-0.440
'0:00.038',0.270,-0.040,-0.340,-0.420
'0:00.040',0.260,-0.050,-0.330,-0.410
'0:00.042',0.220,-0.070,-0.300,-0.370
'0:00.044',0.170,-0.090,-0.270,-0.320
'0:00.046',0.120,-0.110,-0.240,-0.270
'0:00.048',0.070,-0.120,-0.200,-0.230
'0:00.050',0.030,-0.110,-0.170,-0.170
'0:00.052',0.000,-0.090,-0.150,-0.130
'0:00.054',0.000,-0.110,-0.120,-0.120
'0:00.056',-0.020,-0.130,-0.100,-0.100
'0:00.058',-0.040,-0.130,-0.090,-0.060
'0:00.060',-0.070,-0.150,-0.070,-0.020
'0:00.062',-0.110,-0.150,-0.040,0.020
'0:00.064',-0.140,-0.160,0.000,0.080
'0:00.066',-0.170,-0.150,0.020,0.140
'0:00.068',-0.180,-0.150,0.040,0.170
'0:00.070',-0.190,-0.140,0.060,0.180
'0:00.072',-0.200,-0.150,0.070,0.180
'0:00.074',-0.200,-0.150,0.070,0.190
'0:00.076',-0.210,-0.160,0.090,0.210
'0:00.078',-0.230,-0.150,0.110,0.250
'0:00.080',-0.250,-0.130,0.130,0.280
'0:00.082',-0.260,-0.120,0.140,0.300
'0:00.084',-0.280,-0.120,0.140,0.310
