'Elapsed time','ECG 1','ECG 2','ECG 3','ECG 4'
'hh:mm:ss.mmm','mV','mV','mV','mV'
'0:00.000',-0.060,0.000,0.080,0.180
'0:00.002',-0.060,0.000,0.080,0.180
'0:00.004',-0.070,0.000,0.080,0.180
'0:00.006',-0.060,-0.010,0.090,0.160
'0:00.008',-0.050,-0.030,0.090,0.150
'0:00.010',-0.040,-0.030,0.090,0.150
'0:00.012',-0.050,-0.040,0.100,0.150
'0:00.014',-0.070,-0.040,0.100,0.160
'0:00.016',-0.090,-0.040,0.090,0.160
'0:00.018',-0.100,-0.040,0.090,0.160
'0:00.020',-0.090,-0.050,0.090,0.160
'0:00.022',-0.070,-0.050,0.100,0.160
'0:00.024',-0.060,-0.050,0.100,0.140
'0:00.026',-0.040,-0.030,0.100,0.130
'0:00.028',-0.030,-0.030,0.100,0.120
'0:00.030',-0.030,-0.040,0.100,0.120
'0:00.032',-0.030,-0.050,0.090,0.110
'0:00.034',-0.050,-0.040,0.090,0.110
'0:00.036',-0.050,-0.030,0.080,0.110
'0:00.038',-0.040,-0.030,0.060,0.100
'0:00.040',-0.020,-0.020,0.030,0.080
'0:00.042',-0.020,-0.010,0.020,0.070
'0:00.044',-0.020,-0.020,0.020,0.060
'0:00.046',-0.010,-0.030,0.020,0.050
'0:00.048',-0.010,-0.030,0.020,0.050
'0:00.050',-0.030,-0.030,0.030,0.050
'0:00.052',-0.030,-0.030,0.030,0.040
'0:00.054',-0.030,-0.020,0.040,0.050
'0:00.056',-0.030,-0.010,0.030,0.040
'0:00.058',-0.030,-0.020,0.010,0.020
'0:00.060',-0.020,-0.020,0.000,0.000
'0:00.062',0.000,-0.030,0.000,0.000
'0:00.064',0.000,-0.030,0.010,0.000
'0:00.066',0.010,-0.030,0.020,0.010
'0:00.068',0.010,-0.010,0.020,0.030
'0:00.070',0.000,0.000,0.030,0.030
'0:00.072',0.010,0.000,0.020,0.000
'0:00.074',0.020,0.000,0.010,-0.030
'0:00.076',0.040,-0.010,0.000,-0.050
'0:00.078',0.050,-0.020,0.000,-0.050
'0:00.080',0.060,-0.030,0.000,-0.040
'0:00.082',0.060,-0.010,0.010,-0.020
'0:00.084',0.050,0.000,0.020,0.000
'0:00.086',0.040,0.000,0.030,0.000
'0:00.088',0.040,0.000,0.040,-0.010
'0:00.090',0.050,0.000,0.040,-0.040
'0:00.092',0.070,0.000,0.020,-0.070
'0:00.094',0.080,-0.010,0.020,-0.070
'0:00.096',0.100,-0.020,0.010,-0.070
'0:00.098',0.090,-0.020,0.000,-0.070
'0:00.100',0.090,-0.030,0.000,-0.080
'0:00.102',0.100,-0.030,-0.030,-0.110
'0:00.104',0.120,-0.030,-0.080,-0.140
'0:00.106',0.140,-0.050,-0.130,-0.210
'0:00.108',0.170,-0.070,-0.200,-0.290
'0:00.110',0.180,-0.100,-0.250,-0.340
'0:00.112',0.190,-0.120,-0.290,-0.370
'0:00.114',0.220,-0.120,-0.270,-0.360
'0:00.116',0.230,-0.080,-0.160,-0.280
'0:00.118',0.240,0.010,0.010,-0.140
'0:00.120',0.250,0.170,0.260,0.020
'0:00.122',0.290,0.410,0.590,0.190
'0:00.124',0.370,0.740,1.000,0.400
'0:00.126',0.470,1.130,1.480,0.640
'0:00.128',0.590,1.560,2.020,0.930
'0:00.130',0.710,2.030,2.610,1.250
'0:00.132',0.830,2.540,3.230,1.590
'0:00.134',0.920,3.040,3.840,1.930
'0:00.136',0.990,3.480,4.350,2.230
'0:00.138',1.040,3.830,4.690,2.440
'0:00.140',1.060,4.020,4.860,2.530
'0:00.142',1.060,4.060,4.850,2.540
'0:00.144',0.950,3.880,4.630,2.470
'0:00.146',0.700,3.400,4.170,2.330
'0:00.148',0.350,2.740,3.550,2.140
'0:00.150',0.050,2.090,2.910,1.920
'0:00.152',-0.140,1.550,2.310,1.700
'0:00.154',-0.250,1.120,1.800,1.450
'0:00.156',-0.310,0.770,1.360,1.170
'0:00.158',-0.330,0.480,0.980,0.920
'0:00.160',-0.330,0.240,0.660,0.690
'0:00.162',-0.330,0.050,0.380,0.490
'0:00.164',-0.310,-0.100,0.150,0.320
'0:00.166',-0.310,-0.220,-0.030,0.180
'0:00.168',-0.300,-0.310,-0.200,0.060
'0:00.170',-0.260,-0.410,-0.340,-0.040
'0:00.172',-0.230,-0.490,-0.470,-0.150
'0:00.174',-0.210,-0.550,-0.570,-0.230
'0:00.176',-0.190,-0.610,-0.660,-0.300
'0:00.178',-0.170,-0.660,-0.720,-0.360
'0:00.180',-0.160,-0.690,-0.750,-0.390
'0:00.182',-0.160,-0.700,-0.780,-0.400
'0:00.184',-0.160,-0.710,-0.810,-0.440
'0:00.186',-0.140,-0.720,-0.840,-0.460
'0:00.188',-0.120,-0.730,-0.870,-0.490
'0:00.190',-0.110,-0.730,-0.880,-0.530
'0:00.192',-0.090,-0.730,-0.900,-0.560
'0:00.194',-0.070,-0.730,-0.900,-0.570
'0:00.196',-0.070,-0.710,-0.900,-0.560
'0:00.198',-0.070,-0.700,-0.890,-0.560
'0:00.200',-0.080,-0.680,-0.880,-0.560
'0:00.202',-0.070,-0.670,-0.870,-0.560
'0:00.204',-0.050,-0.650,-0.860,-0.550
'0:00.206',-0.030,-0.630,-0.840,-0.570
'0:00.208',-0.020,-0.610,-0.830,-0.580
'0:00.210',-0.020,-0.590,-0.810,-0.570
'0:00.212',-0.030,-0.580,-0.800,-0.560
'0:00.214',-0.030,-0.570,-0.790,-0.550
'0:00.216',-0.010,-0.560,-0.770,-0.540
'0:00.218',-0.010,-0.550,-0.760,-0.530
'0:00.220',-0.010,-0.540,-0.740,-0.530
'0:00.222',0.000,-0.500,-0.710,-0.530
'0:00.224',0.000,-0.470,-0.690,-0.530
'0:00.226',0.000,-0.460,-0.680,-0.530
'0:00.228',0.000,-0.470,-0.670,-0.510
'0:00.230',0.010,-0.480,-0.660,-0.500
'0:00.232',0.010,-0.470,-0.660,-0.500
'0:00.234',0.000,-0.470,-0.650,-0.490
'0:00.236',0.000,-0.450,-0.630,-0.480
'0:00.238',-0.010,-0.420,-0.610,-0.460
'0:00.240',0.000,-0.430,-0.600,-0.470
'0:00.242',0.000,-0.420,-0.590,-0.500
'0:00.244',0.010,-0.420,-0.580,-0.500
'0:00.246',0.020,-0.410,-0.560,-0.490
'0:00.248',0.020,-0.390,-0.550,-0.480
'0:00.250',0.020,-0.370,-0.540,-0.470
'0:00.252',0.010,-0.350,-0.540,-0.440
'0:00.254',0.020,-0.350,-0.530,-0.430
'0:00.256',0.040,-0.340,-0.510,-0.440
'0:00.258',0.050,-0.330,-0.500,-0.460
'0:00.260',0.060,-0.330,-0.500,-0.470
'0:00.262',0.070,-0.330,-0.500,-0.460
'0:00.264',0.090,-0.320,-0.490,-0.440
'0:00.266',0.090,-0.280,-0.490,-0.420
'0:00.268',0.080,-0.260,-0.500,-0.420
'0:00.270',0.090,-0.240,-0.500,-0.420
'0:00.272',0.100,-0.220,-0.490,-0.420
'0:00.274',0.120,-0.210,-0.480,-0.440
'0:00.276',0.140,-0.200,-0.470,-0.450
'0:00.278',0.150,-0.170,-0.470,-0.420
'0:00.280',0.160,-0.140,-0.470,-0.420
'0:00.282',0.170,-0.130,-0.460,-0.430
'0:00.284',0.180,-0.120,-0.450,-0.420
'0:00.286',0.210,-0.110,-0.440,-0.430
'0:00.288',0.230,-0.090,-0.440,-0.450
'0:00.290',0.240,-0.080,-0.440,-0.470
'0:00.292',0.240,-0.060,-0.440,-0.470
'0:00.294',0.250,-0.040,-0.430,-0.460
'0:00.296',0.270,-0.020,-0.420,-0.460
'0:00.298',0.280,-0.010,-0.400,-0.480
'0:00.300',0.280,0.000,-0.390,-0.500
'0:00.302',0.300,0.010,-0.390,-0.510
'0:00.304',0.330,0.020,-0.390,-0.510
'0:00.306',0.360,0.040,-0.370,-0.520
'0:00.308',0.380,0.070,-0.370,-0.520
'0:00.310',0.410,0.070,-0.370,-0.530
'0:00.312',0.430,0.080,-0.370,-0.550
'0:00.314',0.460,0.100,-0.370,-0.570
'0:00.316',0.470,0.130,-0.380,-0.580
'0:00.318',0.480,0.150,-0.370,-0.570
'0:00.320',0.500,0.160,-0.350,-0.560
'0:00.322',0.520,0.190,-0.340,-0.550
'0:00.324',0.540,0.200,-0.340,-0.570
'0:00.326',0.560,0.200,-0.340,-0.590
'0:00.328',0.560,0.190,-0.330,-0.600
'0:00.330',0.560,0.180,-0.310,-0.590
'0:00.332',0.550,0.190,-0.300,-0.580
'0:00.334',0.540,0.220,-0.290,-0.570
'0:00.336',0.540,0.230,-0.280,-0.570
'0:00.338',0.540,0.220,-0.260,-0.570
'0:00.340',0.540,0.210,-0.250,-0.580
'0:00.342',0.560,0.200,-0.260,-0.590
'0:00.344',0.570,0.200,-0.270,-0.590
'0:00.346',0.560,0.200,-0.260,-0.570
