'Elapsed time','ECG I','ECG I filtered'
'hh:mm:ss.mmm','mV','mV'
'0:00.000',-0.085,-0.115
'0:00.002',-0.080,-0.115
'0:00.004',-0.070,-0.120
'0:00.006',-0.075,-0.120
'0:00.008',-0.095,-0.120
'0:00.010',-0.090,-0.120
'0:00.012',-0.100,-0.120
'0:00.014',-0.100,-0.115
'0:00.016',-0.100,-0.115
'0:00.018',-0.085,-0.115
'0:00.020',-0.060,-0.110
'0:00.022',-0.045,-0.110
'0:00.024',-0.055,-0.110
'0:00.026',-0.060,-0.110
'0:00.028',-0.070,-0.105
'0:00.030',-0.080,-0.105
'0:00.032',-0.085,-0.105
'0:00.034',-0.080,-0.105
'0:00.036',-0.070,-0.100
'0:00.038',-0.040,-0.100
'0:00.040',-0.050,-0.100
'0:00.042',-0.045,-0.100
'0:00.044',-0.040,-0.100
'0:00.046',-0.040,-0.100
'0:00.048',-0.055,-0.100
'0:00.050',-0.060,-0.100
'0:00.052',-0.055,-0.100
'0:00.054',-0.055,-0.095
'0:00.056',-0.055,-0.095
'0:00.058',-0.045,-0.095
'0:00.060',-0.040,-0.095
'0:00.062',-0.045,-0.090
'0:00.064',-0.040,-0.090
'0:00.066',-0.030,-0.090
'0:00.068',-0.035,-0.090
'0:00.070',-0.045,-0.085
'0:00.072',-0.055,-0.085
'0:00.074',-0.055,-0.085
'0:00.076',-0.050,-0.085
'0:00.078',-0.020,-0.085
'0:00.080',-0.015,-0.080
'0:00.082',-0.010,-0.080
'0:00.084',0.005,-0.075
'0:00.086',0.000,-0.070
'0:00.088',-0.005,-0.070
'0:00.090',-0.025,-0.065
'0:00.092',-0.035,-0.065
'0:00.094',-0.030,-0.060
'0:00.096',-0.030,-0.060
'0:00.098',-0.015,-0.060
'0:00.100',-0.005,-0.060
'0:00.102',0.000,-0.065
'0:00.104',0.010,-0.065
'0:00.106',0.020,-0.060
'0:00.108',0.000,-0.060
'0:00.110',-0.005,-0.055
'0:00.112',0.005,-0.050
'0:00.114',0.005,-0.050
'0:00.116',0.010,-0.045
'0:00.118',0.025,-0.040
'0:00.120',0.040,-0.035
'0:00.122',0.055,-0.030
'0:00.124',0.060,-0.025
'0:00.126',0.045,-0.020
'0:00.128',0.040,-0.010
'0:00.130',0.045,-0.005
'0:00.132',0.040,0.005
'0:00.134',0.040,0.010
'0:00.136',0.070,0.020
'0:00.138',0.075,0.025
'0:00.140',0.090,0.025
'0:00.142',0.105,0.030
'0:00.144',0.105,0.030
'0:00.146',0.115,0.030
'0:00.148',0.105,0.035
'0:00.150',0.100,0.035
'0:00.152',0.100,0.040
'0:00.154',0.095,0.045
'0:00.156',0.125,0.055
'0:00.158',0.155,0.065
'0:00.160',0.160,0.075
'0:00.162',0.160,0.085
'0:00.164',0.175,0.095
'0:00.166',0.175,0.100
'0:00.168',0.155,0.105
'0:00.170',0.160,0.110
'0:00.172',0.150,0.115
'0:00.174',0.150,0.120
'0:00.176',0.160,0.125
'0:00.178',0.180,0.125
'0:00.180',0.190,0.125
'0:00.182',0.190,0.125
'0:00.184',0.200,0.125
'0:00.186',0.190,0.120
'0:00.188',0.180,0.120
'0:00.190',0.175,0.115
'0:00.192',0.165,0.110
'0:00.194',0.160,0.105
'0:00.196',0.165,0.105
'0:00.198',0.155,0.100
'0:00.200',0.165,0.100
'0:00.202',0.165,0.100
'0:00.204',0.170,0.100
'0:00.206',0.145,0.095
'0:00.208',0.135,0.090
'0:00.210',0.110,0.085
'0:00.212',0.090,0.075
'0:00.214',0.070,0.065
'0:00.216',0.075,0.050
'0:00.218',0.085,0.040
'0:00.220',0.085,0.025
'0:00.222',0.070,0.015
'0:00.224',0.070,0.010
'0:00.226',0.050,0.000
'0:00.228',0.040,-0.005
'0:00.230',0.025,-0.010
'0:00.232',0.005,-0.015
'0:00.234',-0.005,-0.020
'0:00.236',0.000,-0.025
'0:00.238',0.000,-0.035
'0:00.240',0.005,-0.045
'0:00.242',0.010,-0.055
'0:00.244',0.000,-0.060
'0:00.246',0.010,-0.065
'0:00.248',0.015,-0.065
'0:00.250',0.030,-0.060
'0:00.252',0.035,-0.050
'0:00.254',0.045,-0.035
'0:00.256',0.065,-0.015
'0:00.258',0.085,0.000
'0:00.260',0.090,0.015
'0:00.262',0.120,0.025
'0:00.264',0.115,0.030
'0:00.266',0.090,0.035
'0:00.268',0.085,0.035
'0:00.270',0.070,0.030
'0:00.272',0.080,0.025
'0:00.274',0.080,0.025
'0:00.276',0.090,0.025
'0:00.278',0.095,0.025
'0:00.280',0.110,0.030
'0:00.282',0.115,0.030
'0:00.284',0.130,0.035
'0:00.286',0.115,0.040
'0:00.288',0.100,0.045
'0:00.290',0.095,0.050
'0:00.292',0.095,0.050
'0:00.294',0.095,0.050
'0:00.296',0.100,0.050
'0:00.298',0.110,0.055
'0:00.300',0.120,0.055
'0:00.302',0.125,0.060
'0:00.304',0.140,0.060
'0:00.306',0.135,0.065
'0:00.308',0.115,0.065
'0:00.310',0.115,0.070
'0:00.312',0.115,0.070
'0:00.314',0.115,0.070
'0:00.316',0.125,0.070
'0:00.318',0.130,0.070
'0:00.320',0.125,0.065
'0:00.322',0.140,0.065
'0:00.324',0.140,0.065
'0:00.326',0.140,0.060
'0:00.328',0.130,0.060
'0:00.330',0.105,0.060
'0:00.332',0.100,0.065
'0:00.334',0.100,0.065
'0:00.336',0.130,0.070
'0:00.338',0.140,0.070
'0:00.340',0.135,0.070
'0:00.342',0.150,0.075
'0:00.344',0.145,0.075
'0:00.346',0.130,0.075
'0:00.348',0.125,0.075
'0:00.350',0.125,0.070
'0:00.352',0.115,0.070
'0:00.354',0.120,0.070
'0:00.356',0.125,0.070
'0:00.358',0.140,0.065
'0:00.360',0.140,0.065
'0:00.362',0.150,0.065
'0:00.364',0.145,0.065
'0:00.366',0.140,0.065
